639-3	639-1	639-2B	Scope/Type	Family	native	eng	fra	spa	zho	rus	deu				Retrieved from "http://en.wikipedia.org/wiki/ISO_639" on 2008-04-01
aac			I/L			Ari					
aad			I/L			Amal					
aae			I/L			Albanian (Arbëreshë Dialect)	albanais				Albanisch
aaf			I/L			Aranadan					
aai			I/L			Arifama-Miniafia					
aak			I/L			Ankave					
aal			I/L		Afaë	Afade					
aam			I/L			Aramanik					
aan			I/L			Anambé		Anambé			
aao			I/L	Arabic		Arabic (Algerian Sahara)	arabe (Sahara algérien)				Arabisch (Algerische Sahara)
aap			I/L			Arára, Pará		Arára, Pará			
aaq			I/E			Abnaki (Eastern)					
aar	aa	aar	I/L		Afaraf	Afar	afar	afar	阿法尔语	афар	Afar
aas			I/L			Aasáx					
aat			I/L			Albanian (Arvanitika)	albanais (Arvanitika)				
aau			I/L			Abau					
aaw			I/L			Solong					
aax			I/L			Mandobo Atas					
aay			I/L			Aariya					
aaz			I/L			Amarasi					
aba			I/L			Abé					
abb			I/L			Bankon					
abc			I/L			Ayta, Ambala					
abd			I/L			Agta, Camarines Norte					
abe			I/L		Wȣbanakiȣdwawȣgan	Abnaki, Western	abénaquis ouest				
abf			I/L			Abai Sungai					
abg			I/L			Abaga					
abh			I/L	Arabic		Arabic (Tajiki)	arabe (tadjik)				Arabisch (Tadschikistan)
abi			I/L			Abidji					
abj			I/E			Aka-Bea					
abk	ab	abk	I/L		Аҧсуа	Abkhazian	abkhaze	abjaso	阿布哈兹语	абхазский	Abchasisch
abl			I/L			Abung					
abm			I/L			Abanyom					
abn			I/L			Abua					
abo			I/L			Abon					
abp			I/L			Ayta, Abenlen					
abq			I/L		абаза	Abaza	abaza	abaza		абазинский	Abasinisch
abr			I/L			Abron					
abs			I/L			Malay, Ambonese	malais (ambonais)			амбонезский	
abt			I/L			Ambulas					
abu			I/L		ɔbule ɔyʋɛ	Abure					
abv			I/L	Arabic		Arabic (Baharna)	arabe (Baharna)				Arabisch (Baharna)
abw			I/L			Pal					
abx			I/L			Inabaknon					
aby			I/L			Aneme Wake					
abz			I/L			Abui					
aca			I/L			Achagua					
acb			I/L			Áncá					
acc			I/L			Achí, Cubulco					
acd			I/L			Gikyode					
ace		ace	I/L		Aceh	Achinese	aceh		亚齐语	ачехский	
acf			I/L		Kwéyòl	Saint Lucian Creole French	créole français de Sainte-Lucie				
ach		ach	I/L			Acoli	acoli		阿乔利语	ачоли	
aci			I/E			Aka-Cari					
ack			I/E			Aka-Kora					
acl			I/E			Akar-Bale					
acm			I/L	Arabic		Arabic (Mesopotamian)	arabe (mésopotamien)				Arabisch (mesopotamisch)
acn			I/L		Mönghsa	Achang					
acp			I/L			Acipa, Eastern					
acq			I/L			Arabic, Ta'izzi-Adeni Spoken	arabe (parlé de Ta’izzi-Adeni)				
acr			I/L			Achí, Rabinal					
acs			I/E			Acroá					
act			I/L		Achterhoeks	Achterhoeks					
acu			I/L			Achuar-Shiwiar					
acv			I/L		Ajúmmááwí	Achumawi					
acw			I/L	Arabic		Arabic (Hijazi)	arabe (Hijazi)				Arabisch (Hijazi)
acx			I/L	Arabic		Arabic (Omani)	arabe (omanais)				Arabisch (Oman)
acy			I/L	Arabic		Arabic (Cypriot)	arabe (chypriote)				Arabisch (Zypern)
acz			I/L			Acheron					
ada		ada	I/L			Adangme	adangme		阿当梅语	адангме	
adb			I/L			Adabe					
add			I/L			Dzodinka					
add			I/L	Arabic		Arabic (Dhofari)	arabe (Dhofari)				Arabisch (Dofari)
ade			I/L			Adele					
adg			I/L			Andegerebinha					
adh			I/L			Adhola					
adi			I/L			Adi					
adj			I/L		mɔjukru	Adioukrou					
adl			I/L			Adi (Galo)					
adn			I/L			Adang					
ado			I/L			Abu					
adp			I/L			Adap					
adq			I/L			Adangbe					
adr			I/L			Adonara					
ads			I/L			Adamorobe Sign Language	langue des signes adamorobe				
adt			I/L		Yura Ngawarla	Adynyamathanha					
adu			I/L			Aduge					
adw			I/L			Amundava		Amundava			
adx			I/L			Tibetan, Amdo	tibétain (Amdo)				
ady		ady	I/L		адыгэбзэ	Adyghe; Adygei	adyghé	adigué	阿迪格语	адыгейский	
aea			I/L			Areba					
aeb			I/L			Arabic, Tunisian Spoken	arabe (tunisien parlé)				
aec			I/L			Arabic, Saidi Spoken	arabe (séoudien parlé)				
aed			I/L			Argentine Sign Language	langue des signes argentine				
aee			I/L			Pashayi, Northeast					
aek			I/L			Haeke					
ael			I/L			Ambele					
aem			I/L			Arem					
aen			I/L			Armenian Sign Language	langue des signes arménienne				
aeq			I/L			Aer					
aer			I/L			Arrernte, Eastern					
aes			I/E			Alsea					
aew			I/L			Ambakich					
aex			I/L			Amerax					
aey			I/L			Amele					
afa			o/L			Afro-Asiatic languages	langues afro-asiatiques		亚非诸语言		Afroasiatsche Sprachen
afb			I/L			Arabic, Gulf Spoken	arabe (parlé du Golfe)				
afe			I/L			Putukwam					
afh		afh	o/L			Afrihili	afrihili		阿弗里希利语	африхили	Afrihili
afi			I/L			Akrukay					
afn			I/L			Defaka					
afo			I/L			Eloyi					
afr	af	afr	I/L		Afrikaans	Afrikaans	afrikaans	afrikaans	阿非利堪斯語	африкаанс	Afrikaans
afs			I/L			Afro-Seminole Creole	créole afro-séminole				
aft			I/L			Afitti					
afu			I/L			Awutu					
afz			I/L			Obokuitai					
aga			I/E			Aguano					
agb			I/L			Legbo					
agc			I/L			Agatu					
agd			I/L			Agarabi					
age			I/L			Angal					
agf			I/L			Arguni				аргуни	
agg			I/L			Angor					
agh			I/L			Ngelima					
agi			I/L			Agariya					
agj			I/L			Argobba					
agk			I/L			Agta, Isarog					
agl			I/L			Fembe					
agm			I/L			Angaatiha					
agn			I/L			Agutaynen					
ago			I/L			Tainae					
agp			I/L			Paranan					
agq			I/L		Aghím	Aghem					
agr			I/L		Awajun	Aguaruna					
ags			I/L			Esimbi					
agt			I/L			Agta, Central Cagayan					
agu			I/L		Awakateko	Aguacateco		aguacateco			
agv			I/L			Agta, Remontado					
agw			I/L			Kahua					
agx			I/L		агъул	Aghul		aghul		агульский	
agy			I/L			Alta, Southern					
agz			I/L			Agta, Mt. Iriga					
aha			I/L			Ahanta					
ahb			I/L			Axamb					
ahe			I/L			Ahe					
ahg			I/L			Qimant					
ahh			I/L			Aghu					
ahi			I/L			Aizi, Tiagbamrin					
ahk			I/L			Akha					
ahl			I/L			Igo					
ahm			I/L			Aizi, Mobumrin					
ahn			I/L			Àhàn					
aho			I/E			Ahom					
ahp			I/L			Aizi, Aproumu					
ahr			I/L			Ahirani					
ahs			I/L			Ashe					
aht			I/L			Ahtena					
aia			I/L			Arosi					
aib			I/L			Ainu (China)	aïnou (Chine)				
aic			I/L			Ainbai					
aid			I/L			Alngith					
aie			I/L			Amara				амара	
aif			I/L			Agi					
aig			I/L			Antigua and Barbuda Creole English	créole anglais d’Antigua-et-Barbuda				
aih			I/L			Ai-Cham					
aii			I/L			Assyrian Neo-Aramaic	néo-araméen (assyrien)			ассирийский	
aij			I/L			Lishanid Noshan					
aik			I/L			Ake					
ail			I/L			Aimele					
aim			I/L			Aimol					
ain		ain	I/L		アイヌ イタク(イタック)	Ainu (Japan)	aïnou (Japon)		阿依努语	айнский	Ainu
aio			I/L			Aiton					
aip			I/L			Burumakok					
aiq			I/L			Aimaq					
air			I/L			Airoran					
ais			I/L			Amis, Nataoran					
ait			I/E			Arikem		arikem			
aix			I/L			Aigon					
aiy			I/L			Ali					
aiz			I/L			Aari					
aja			I/L			Aja (Sudan)					
ajg			I/L			Aja (Benin)					
aji			I/L			Ajië					
ajp			I/L	Arabic		Arabic (South Levantine)	arabe (lévantin du Sud)				Arabisch (Südlevantisch)
ajt			I/L	Arabic		Arabic (Judeo-Tunisian)	arabe (judéo-tunisien)				Arabisch (Judeo-Tunesisch)
aju			I/L	Arabic		Arabic (Judeo-Moroccan)	arabe (judéo-marocain)				Arabisch (Judeo-Morokkanisch)
ajw			I/E			Ajawa					
ajz			I/L			Amri					
aka	ak	aka	M/L		Akan	Akan	akan	acano	阿坎语	акан	Akan
akb			I/L			Batak Angkola	angkola batak				
akc			I/L			Mpur					
akd			I/L			Ukpet-Ehom					
ake			I/L			Akawaio					
akf			I/L			Akpa					
akg			I/L			Anakalangu				анакалангу	
akh			I/L			Angal Heneng					
aki			I/L			Aiome					
akj			I/E			Aka-Jeru					
akk		akk	I/A		Akkadû	Akkadian	akkadien	acadio	阿卡德语	Аккадский	Akkadisch
akl			I/L		Akeanon	Aklanon					
akm			I/E			Aka-Bo					
akn			I/L			Amikoana					
ako			I/L			Akurio		akurio			
akp			I/L			Siwu					
akq			I/L			Ak					
akr			I/L			Araki					
aks			I/L			Akaselem					
akt			I/L			Akolet					
aku			I/L		Aakuem	Akum					
akv			I/L			Akhvakh		akhvakh		ахвахский	
akw			I/L			Akwa				аква	
akx			I/E			Aka-Kede					
aky			I/E			Aka-Kol					
akz			I/L		Albaamo innaaɬiilka	Alabama		alabama			
ala			I/L			Alago					
alc			I/L		Alacalufe	Qawasqar					
ald			I/L			Alladian					
ale		ale	I/L		Unangax tunuu	Aleut	aléoute		阿留申语	алеутский	
alf			I/L			Alege					
alg		alg	C/L			Algonquian	langues algonquines		阿尔冈昆诸语言		
alh			I/L			Alawa					
ali			I/L			Amaimon					
alj			I/L			Alangan					
alk			I/L			Alak					
all			I/L			Allar					
alm			I/L			Amblong					
aln			I/L		Gegnisht	Albanian (Gheg)	albanais (Gheg)				Albanisch (Gheg)
alo			I/L			Larike-Wakasihu					
alp			I/L			Alune				алуне	
alq			I/L		Anishnaabemowin (Omaamiwininimowin)	Algonquin	algonquin				
alr			I/L			Alutor					
als			I/L		Toskërishte	Albanian (Tosk)	albanais (Tosk)				Albanisch (Tosk)
alt		alt	I/L		Алтай тили	Altai (Southern)	altaï (du Sud)	altay	南阿尔泰语	алтайский	Südaltaisch
alu			I/L			'Are'are					
alw			I/L			Alaba					
alx			I/L			Alatil					
aly			I/L			Alyawarr					
alz			I/L			Alur					
ama			I/L			Amanayé		amanayé			
amb			I/L			Ambo					
amc			I/L			Amahuaca		amahuaca			
amd			I/L			Amapá Creole	créole amapa				
ame			I/L			Yanesha'					
amf			I/L			Hamer-Banna					
amg			I/L			Amarag					
amh	am	amh	I/L		አማርኛ	Amharic	amharique	amárico	阿姆哈拉语	Амхарский	Amharisch
ami			I/L			Amis					
amj			I/L			Amdang					
amk			I/L			Ambai				амбай	
aml			I/L			War					
amm			I/L			Ama (Papua New Guinea)	ama (Papouasie-Nouvelle-Guinée)				
amn			I/L			Amanab					
amo			I/L			Amo					
amp			I/L			Alamblak					
amq			I/L			Amahai					
amr			I/L			Amarakaeri					
ams			I/L			Amami-Oshima, Southern					
amt			I/L			Amto					
amu			I/L			Amuzgo, Guerrero					
amv			I/L			Ambelau					
amw			I/L			Western Neo-Aramaic	néo-araméen (occidental)				
amx			I/L			Anmatyerre					
amy			I/L			Ami					
amz			I/L			Atampaya					
ana			I/E			Andaqui		andaquí			
anb			I/E			Andoa		andoa			
anc			I/L			Ngas					
and			I/L			Ansus					
ane			I/L			Xârâcùù					
anf			I/L			Animere					
ang		ang	I/H		Englisc	Old English	anglo-saxon		古英语	староанглийский	Altenglisch
anh			I/L			Nend					
ani			I/L			Andi		andí			
anj			I/L			Anor					
ank			I/L			Goemai					
anl			I/L			Anu					
anm			I/L			Anal		anal			
ann			I/L			Obolo					
ano			I/L			Andoque					
anp		anp	I/L			Angika	angika				
anq			I/L			Jarawa (India)	jarawa (Inde)				
anr			I/L			Andh					
ans			I/E			Anserma					
ant			I/L			Antakarinya					
anu			I/L			Anuak					
anv			I/L			Denya					
anw			I/L			Anaang					
anx			I/L			Andra-Hus					
any			I/L			Anyin					
anz			I/L			Anem					
aoa			I/L			Angolar					
aob			I/L			Abom					
aoc			I/L			Pemon		pemón			
aod			I/L			Andarum					
aoe			I/L			Angal Enen					
aof			I/L			Bragat					
aog			I/L			Angoram					
aoh			I/E			Arma					
aoi			I/L			Anindilyakwa					
aoj			I/L			Mufian					
aok			I/L			Arhö					
aol			I/L			Alor					
aom			I/L			Ömie					
aon			I/L			Arapesh, Bumbita					
aor			I/L			Aore					
aos			I/L			Taikat					
aot			I/L			A'tong					
aox			I/L			Atorada					
aoz			I/L			Uab Meto					
apa		apa	C/L	Apache		Apachean	langues apaches	apache	阿帕切诸语言	апачи	Apachensprachen
apb			I/L			Sa'a					
apc			I/L			Arabic (North Levantine)	arabe (lévantin du Nord)				arabisch (Nord Levantisch)
apd			I/L	Arabic		Arabic (Sudanese)	arabe (soudanais)				arabisch (sudanesisch)
ape			I/L			Bukiyip					
apg			I/L			Ampanang					
aph			I/L			Athpariya					
api			I/L			Apiacá		apiacá			
apj			I/L	Apache	Abáachi mizaa	Apache (Jicarilla)	apache (Jicarilla)				
apk			I/L	Apache		Apache (Kiowa)	apache (Kiowa)				
apl			I/L	Apache		Apache (Lipan)	apache (Lipan)				
apm			I/L	Apache		Apache (Mescalero-Chiricahua)	apache (Mescalero-Chiricahua)				
apn			I/L			Apinayé					
apo			I/L			Apalik					
app			I/L			Apma					
apq			I/L			A-Pucikwar					
apr			I/L			Arop-Lukep					
aps			I/L			Arop-Sissano					
apt			I/L			Apatani					
apu			I/L			Apurinã					
apw			I/L	Apache	Ndéé biyáti'	Apache (Western)	apache (occidental)				
apx			I/L			Aputai					
apy			I/L			Apalaí		apalaí			
apz			I/L			Safeyoka					
aqc			I/L			Archi		archi			
aqg			I/L			Arigidi					
aqm			I/L			Atohwaim					
aqn			I/L			Alta (Northern)	altaïque (du Nord)				
aqp			I/E			Atakapa					
aqr			I/L			Arhâ					
ara	ar	ara	M/L	Arabic	العربية	Arabic	arabe	árabe	阿拉伯语	арабский	Arabisch
arb			I/L	Arabic	لعربية	Arabic (standard)	arabe (standard)				Arabisch (Standard)
arc		arc	I/A		ܐܪܡܝܐ	Aramaic	araméen	arameo	亚拉姆语	арамейский	Aramäisch
ard			I/L			Arabana					
are			I/L			Arrarnta, Western					
arf			I/L			Arafundi					
arg	an	arg	I/L		Aragonés	Aragonese	aragonais	aragonés	阿拉贡语	арагонский	Aragonisch
arh			I/L			Arhuaco		arhuaco			
ari			I/L			Arikara					
arj			I/L			Arapaso					
ark			I/L			Arikapú					
arl			I/L			Arabela		arabela			
arn		arn	I/L		Mapudungun	Araucanian	araucan	mapudungun	阿劳坎语	арауканский; мапудунгун	Mapudungun
aro			I/L			Araona					
arp		arp	I/L		Hinono'eitiit	Arapaho	arapaho	arapaho	阿拉帕霍语	арапахо	
arq			I/L	Arabic		Arabic (Algerian)	arabe (algérien)				arabisch (Algerien)
arr			I/L			Karo (Brazil)					
ars			I/L	Arabic		Arabic (Najdi)	arabe (Najdi)				arabisch (Nadji)
art			O/C			(artificial)	(langues artificielles)		(人工语言)		(künstlich)
aru			I/E			Arua					
arv			I/L			Arbore					
